Joshua Project People Group Data;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ROG3;Ctry;PeopleID3;ROP3;PeopNameAcrossCountries;PeopNameInCountry;Population;JPScale;LeastReached;Frontier;ROL3;PrimaryLanguageName;BibleStatus;RLG3;PrimaryReligion;PercentAdherents;PctChristianRange;PercentEvangelical;PctEvangelicalRange;ROP1;PeopleID1;AffinityBloc;PeopleID2;ROP2;PeopleCluster;RegionCode;RegionName;ROG2;Continent;10_40Window;CountOfCountries;IndigenousCode;WorkersNeeded;Latitude;Longitude
CM;Cameroon;10166;100086;Kotoko, Afade;Kotoko, Afade;8400;1;Y;N;aal;Afade;2;6;Islam;4;2-5%;0.6;0.1-2%;A013;22;Sub-Saharan Peoples;158;C0062;Chadic  ;8;Africa, West and Central;AFR;Africa;N;2;Y;1;12.24039;14.69057
CM;Cameroon;13844;106841;Kotoko, Mpade;Kotoko, Mpade;27000;1;Y;N;mpi;Mpade;2;6;Islam;3;2-5%;0.9;0.1-2%;A013;22;Sub-Saharan Peoples;158;C0062;Chadic  ;8;Africa, West and Central;AFR;Africa;N;2;Y;1;12.57452;14.51383
CM;Cameroon;13487;106228;Mandara;Mandara, Wandala;78000;1;Y;Y;mfi;Wandala;4;6;Islam;0;0-0.1%;0;0-0.1%;A013;22;Sub-Saharan Peoples;158;C0062;Chadic  ;8;Africa, West and Central;AFR;Africa;N;2;Y;2;11.11089;14.0809
CM;Cameroon;19341;115393;Mazagway;Mazagway;37000;1;Y;N;dkx;Mazagway-Hidi;3;6;Islam;5;2-5%;0.8;0.1-2%;A013;22;Sub-Saharan Peoples;158;C0062;Chadic  ;8;Africa, West and Central;AFR;Africa;N;1;Y;1;10.17602;13.70867
CM;Cameroon;19046;115351;Sharwa;Sharwa;10000;1;Y;N;swq;Sharwa;2;6;Islam;1;0.1-2%;0.1;0-0.1%;A013;22;Sub-Saharan Peoples;158;C0062;Chadic  ;8;Africa, West and Central;AFR;Africa;N;1;Y;1;10.14014;13.56021
CM;Cameroon;21360;110341;Twendi;Twendi;3100;1;Y;N;twn;Twendi;0;6;Islam;0.3;0.1-2%;0.1;0-0.1%;A013;22;Sub-Saharan Peoples;140;C0044;Benue;8;Africa, West and Central;AFR;Africa;N;1;Y;1;6.36656;11.70017
CM;Cameroon;15895;110727;Wawa;Wawa;7700;1;Y;N;www;Wawa;1;6;Islam;1;0.1-2%;1;0.1-2%;A013;22;Sub-Saharan Peoples;140;C0044;Benue;8;Africa, West and Central;AFR;Africa;N;1;Y;1;6.82544;11.76713
CM;Cameroon;15411;110853;Woko;Woko, Longa;8000;1;Y;N;wok;Longto;1;6;Islam;2;0.1-2%;1;0.1-2%;A013;22;Sub-Saharan Peoples;102;C0003;Adamawa-Ubangi;8;Africa, West and Central;AFR;Africa;N;1;Y;1;8.34979;13.06592
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bible Translation status:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;Unspecified;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Translation Needed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Translation Started;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Portions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;New Testament;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Complete Bible;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Joshua Project welcomes corrections / updates to this data.  Please send feedback to:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Email:;info@joshuaproject.net;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Web:;www.joshuaproject.net;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
