OBJECTID;PEID;PGID;Name;NmDisp;NmAlt;ISOalpha3;Ctry;Regn;RegnSub;ROG;AffCd;Aff;PeopleDesc;LocationDesc;Pop;PopCls;EvngLvl;CongExst;Plnting;EngStat;GSEC;GSECbrf;GSEClng;SPI;SPIdesc;LPI;LPIname;LPIdesc;ROL;Lang;LangFamily;LangClass;LangSpkrs;ROR;Rlgn;RlgnAdher;RORdesc;RlgnBs;ROR4;ROR3;RlgnDiv;ROP3;PplNm;ROP25;Ethne;ROP2;PplClstr;ROP1;Affbloc;Bible;Jesus;Radio;Gospel;Audio;Stories;ResTot;LvlBible;YrPub;PicCrdt;PicURL;Photo;Indigenous;Latitude;Longitude;PeopleSearch;UpdatedDate
11;48338;PG048338;Kumbara;Kumbara;Kulala;IND;India;Asia;Southern Asia;IN;AG500;South Asian Peoples;a community of India;Karnataka: Dakshin Kannad district;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;47070;PG047070;Ahiska Turk;Ahiska Turks;Meskhetian Turk, Turkish Ahiskan, Turkish Meskhetian;RUS;Russian Federation;Europe;Eastern Europe;RS;AG400;Central Asian Peoples;ethnic Turks whose identity is rooted in the Ahiska (Meskheti) region of Georgia prior to their forced deportation by the Soviet government in 1944;;80000;50,000 - 99,999;Less than 2%;No;No Churches Planted;Unengaged;1;Less than 2% Evangelical, No Active CP Activity;this people group is less than 2% evangelical, some evangelical resources are available, but there has been no active church planting among them within the past two years;0;Unengaged and Unreached;0;Frontier Unreached People Group;< 0.1% Evangelical;tur;Turkish;Turkic;Turkic, Southern, Turkish;100;MSN;Islam - Sunni;99;Sunni Islam, the largest branch of Islam. Sunni Muslims follow the teachings of the Qur'an and consider the first four caliphs to be the rightful successors of Muhammad.;Islam;MSN;M;Sunni Islam;115687;Ahiska (Meskheti) Turk;308375;Turk;C0221;Turkic;A015;Turkic Peoples;Available;Available;Not Available;Available;Available;Not Available;4;None;None;"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: Cem Ahiska - Wikimedia <a href=""https://commons.wikimedia.org/wiki/File:Young_Meskhetian_Turks.jpg"">Cem Ahiska - Wikimedia</a> Licensed under <a href=""https://creativecommons.org/licenses/by-sa/4.0/"">CC BY-SA 4.0</a>";https://joshuaproject.net/assets/media/profiles/photos/p20631.jpg;Y;Diaspora;45.038046;39.022423;Ahiska Turks of the Russian Federation (PG047070);2025-08-28T07:20:05.786+00:00
13;49103;PG049103;Badhae;Badhae;Badhaee, Badhee;NPL;Nepal;Asia;Southern Asia;NP;AG500;South Asian Peoples;an indigenous community of Nepal;;52000;50,000 - 99,999;Less than 2%;No;No Churches Planted;Engaged;1;Less than 2% Evangelical, No Active CP Activity;this people group is less than 2% evangelical, some evangelical resources are available, but there has been no active church planting among them within the past two years;1;Engaged yet Unreached;0;Frontier Unreached People Group;< 0.1% Evangelical;npi;Nepali;Indo-European;Indo-European, Indo-Iranian, Indo-Aryan, Intermediate Divisions, Eastern, Eastern Pahari;100;H;Hinduism;99;Hinduism, the predominant religious tradition of the Indian subcontinent. There are many forms of Hinduism, each with its own deities and beliefs.;Hinduism;;H;;111468;Badhai, Hindu;300655;Badhai / Barhai;C0298;Badhai;A012;South Asian Peoples;Available;Available;Not Available;Available;Available;Not Available;4;Bible;2012;"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: Anonymous";https://joshuaproject.net/assets/media/profiles/photos/p16332.jpg;Y;Indigenous;26.453818;87.27399;Badhae  of Nepal (PG049103);2025-03-10T12:57:07.544+00:00
14;24035;PG024035;Yazidi;Yazidi Kurds;Yezidi, Êzdî, Êzidî, Yezidi Kurds;ARM;Armenia;Asia;Western Asia;AM;AG400;Central Asian Peoples;a Kurdish-speaking ethno‑religious minority whose traditional homeland spans northern Iraq, northern Syria, southeastern Turkey, the Caucasus, and parts of Iran;;35500;25,000 - 49,999;Less than 2%;Yes;Dispersed Church Planting;Engaged;3;Less than 2% Evangelical, Dispersed CP Activity;this people group is less than 2% evangelical but there has been dispersed church planting among them within the past two years;1;Engaged yet Unreached;2;Expanding Unreached People Group;0.5% to 2% Evangelical;kmr;Kurdish, Northern;Indo-European;Indo-European, Indo-Iranian, Iranian, Western, Northwestern, Kurdish;100;EYZ;Ethnoreligion - Yazidism;90;Yazidism, a monotheistic, syncretic ethnic religion practiced by the Yazidi (Yezidi) people that fuses elements of Zoroastrianism, Sufism, and Nestorian Christianity. It teaches belief in one supreme God, Xwedê, who created the universe and entrusted its care to Seven Holy Beings (the Heptad).;Ethnoreligion;EYZ;E;Yazidism;116305;Yazidi;308985;Yazidi;C0114;Kurd;A005;Persian-Median Peoples;Available;Available;Not Available;Available;Available;Not Available;4;None;None;"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: manothegreek";https://joshuaproject.net/assets/media/profiles/photos/p20455.jpg;Y;Diaspora;40.637591;44.219856;Yazidi Kurds of Armenia (PG024035);2026-01-16T15:28:32.743+00:00
15;14250;PG014250;Mandyak;Manjak;Manjak, Mandjaque, Njaago;SEN;Senegal;Africa;Western Africa;SG;AG300;Sub-Saharan African Peoples;an ethnolinguistic group indigenous to Guinea-Bissau, Senegal, and the Gambia;;181000;100,000 - 249,999;Less than 2%;Yes;No Churches Planted;Engaged;1;Less than 2% Evangelical, No Active CP Activity;this people group is less than 2% evangelical, some evangelical resources are available, but there has been no active church planting among them within the past two years;1;Engaged yet Unreached;0;Frontier Unreached People Group;< 0.1% Evangelical;mfv;Mandjak;Atlantic-Congo;Niger-Congo, Atlantic-Congo, Atlantic, Northern, Bak, Manjaku-Papel;100;EAN;Ethnoreligion - Animism;87;animism, a religious worldview that natural physical entities--including animals, plants, and even inanimate objects--possess a spiritual essence.;Ethnoreligion;EAN;E;Animism;106236;Manjak;305110;Manjak (Mandyak);C0024;Atlantic;A013;Sub-Saharan African Peoples;Available;Available;Not Available;Available;Available;Not Available;4;None;None;"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: Copyrighted ©️ 2025 Kerry Olson Used with permission";https://joshuaproject.net/assets/media/profiles/photos/p13493.jpg;Y;Indigenous;12.656;-15.4287;Manjak of Senegal (PG014250);2026-01-09T12:41:48.7+00:00
16;17015;PG017015;Matses;Matses;Mayoruna;BRA;Brazil;Americas;South America;BR;AG800;American Peoples;an indigenous people of the Amazon basin, living primarily along the Javari River region on the border between Peru and Brazil;;1600;less than 10,000;5% or Greater but Less than 10%;Yes;No Churches Planted;Engaged;5;5% or Greater but Less than 10% Evangelical;this people group is greater than or equal to 5% evangelical;2;No Longer Unreached;5;Moderately Reached People Group;6% to 20% Evangelical;mcf;Matses;Pano-Tacanan;Panoan, Mayoruna-Matsés;100;E;Ethnoreligion;86;ethnoreligion, consisting of practices deeply rooted in this groups ethnic identity.;Ethnoreligion;;E;;106444;Matses;305302;Mayoruna (Matses);C0010;Amazon;A007;Latin American and Caribbean Peoples;Available;Available;Not Available;Available;Available;Not Available;4;None;None;"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: <a href=""https://www.peruecologico.com.pe/etnias_mayoruna.htm"">Instituto Lingüístico de Verano</a>";https://joshuaproject.net/assets/media/profiles/photos/p13606.jpg;Y;Indigenous;-5.727207;-72.721183;Matses of Brazil (PG017015);2026-01-09T19:13:18.177+00:00
17;13467;PG013467;Mandyak;Manjak;Manjak, Mandjak;GNB;Guinea-Bissau;Africa;Western Africa;PU;AG300;Sub-Saharan African Peoples;an ethnolinguistic group indigenous to Guinea-Bissau, Senegal, and the Gambia;;114000;100,000 - 249,999;Less than 2%;Yes;No Churches Planted;Engaged;1;Less than 2% Evangelical, No Active CP Activity;this people group is less than 2% evangelical, some evangelical resources are available, but there has been no active church planting among them within the past two years;1;Engaged yet Unreached;2;Expanding Unreached People Group;0.5% to 2% Evangelical;mfv;Mandjak;Atlantic-Congo;Niger-Congo, Atlantic-Congo, Atlantic, Northern, Bak, Manjaku-Papel;100;EAN;Ethnoreligion - Animism;79;animism, a religious worldview that natural physical entities--including animals, plants, and even inanimate objects--possess a spiritual essence.;Ethnoreligion;EAN;E;Animism;106236;Manjak;305110;Manjak (Mandyak);C0024;Atlantic;A013;Sub-Saharan African Peoples;Available;Available;Not Available;Available;Available;Not Available;4;New Testament;2021;"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: Copyrighted ©️ 2025 Kerry Olson Used with permission";https://joshuaproject.net/assets/media/profiles/photos/p13493.jpg;Y;Indigenous;12.37436;-15.60103;Manjak of Guinea-Bissau (PG013467);2026-01-09T12:42:05.432+00:00
18;16802;PG016802;Huni Kuin;Huni Kuin;Huin Kui;BRA;Brazil;Americas;South America;BR;AG800;American Peoples;an indigenous community of Brazil;;7200;less than 10,000;15% or Greater but Less than 20%;Yes;No Churches Planted;Engaged;6;10% or Greater Evangelical;this people group is greater than or equal to 10% evangelical;2;No Longer Unreached;5;Moderately Reached People Group;6% to 20% Evangelical;cbs;Kashinawa;Pano-Tacanan;Panoan, Mainline, Tri-State;100;E;Ethnoreligion;0;ethnoreligion, consisting of practices deeply rooted in this groups ethnic identity.;Ethnoreligion;;E;;101893;Huni Kuin;303835;Huni Kuin (Kashinawa);C0010;Amazon;A007;Latin American and Caribbean Peoples;Available;Available;Not Available;Available;Available;Not Available;4;None;None;"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: Jim & Cindy Boyer";https://joshuaproject.net/assets/media/profiles/photos/p11106.jpg;Y;Indigenous;-9.108;-70.715;Huni Kuin of Brazil (PG016802);2025-05-19T03:04:32.866+00:00
19;24519;PG024519;Yaz Gulom;Yaz Gulom;Zǵamiǵai, Yuzdomi Zveg;TJK;Tajikistan;Asia;Central Asia;TI;AG400;Central Asian Peoples;an ethnic and linguistic minority living primarily along the Yazgulom River in Gorno-Badakhshan, Tajikistan. They are known for their distinct language, cultural practices, and historical resilience;;5500;less than 10,000;Less than 2%;No;No Churches Planted;Engaged;1;Less than 2% Evangelical, No Active CP Activity;this people group is less than 2% evangelical, some evangelical resources are available, but there has been no active church planting among them within the past two years;1;Engaged yet Unreached;1;Pioneer Unreached People Group;0.1% to 0.5% Evangelical;yah;Yazghulami;Indo-European;Indo-European, Indo-Iranian, Iranian, Eastern, Southeastern, Pamir, Shugni-Yazgulami;100;MSH;Islam - Shia;99;Shia Islam, one of two major denominations of Islam. The followers of Shia Islam are called 'Shi'as' or 'Shiites'.;Islam;MSH;M;Shia Islam;111016;Yazgul;308984;Yazgul (Yazgulyam);C0211;Tajik;A005;Persian-Median Peoples;Available;Not Available;Not Available;Available;Available;Not Available;3;Selections;2001;"<div style=""font-size: 0.8em"">No photo available</div>";https://www.peoplegroups.org/images/pgphotosearch/NoImageAvailable_search.jpg;N;Indigenous;38.28006;71.56505;Yaz Gulom of Tajikistan (PG024519);2025-08-21T19:12:09.146+00:00
20;22517;PG022517;Malay, Riau;Riau Malay;Riau Malay, Riau Melayu;IDN;Indonesia;Asia;South-Eastern Asia;ID;AG650;Asian Pacific Rim Peoples;a people of Indonesia (Peninsular);;2375000;1,000,00 - 2,499,999;Less than 2%;Yes;No Churches Planted;Engaged;1;Less than 2% Evangelical, No Active CP Activity;this people group is less than 2% evangelical, some evangelical resources are available, but there has been no active church planting among them within the past two years;1;Engaged yet Unreached;0;Frontier Unreached People Group;< 0.1% Evangelical;zlm;Malay;Austronesian;Austronesian, Malayo-Polynesian, Malayo-Chamic, Malayic, Malay;100;MSN;Islam - Sunni;99;Sunni Islam, the largest branch of Islam. Sunni Muslims follow the teachings of the Qur'an and consider the first four caliphs to be the rightful successors of Muhammad.;Islam;MSN;M;Sunni Islam;108373;Malay, Riau;305027;Malay;C0123;Malay;A008;Malay Peoples;Available;Available;Not Available;Available;Available;Not Available;4;None;None;Photo by By Jacob Talley;https://images.peoplegroups.org/imbpeople-featured-images/PG022517.jpg;Y;Indigenous;0.530739;101.448228;Riau Malay of Indonesia (PG022517);2026-01-21T18:06:51.278+00:00
21;41726;PG041726;Newar;Newar;नेवार, नेवा;IND;India;Asia;Southern Asia;IN;AG500;South Asian Peoples;an indigenous community of India;;231000;100,000 - 249,999;Less than 2%;Yes;Dispersed Church Planting;Engaged;3;Less than 2% Evangelical, Dispersed CP Activity;this people group is less than 2% evangelical but there has been dispersed church planting among them within the past two years;1;Engaged yet Unreached;1;Pioneer Unreached People Group;0.1% to 0.5% Evangelical;npi;Nepali;Indo-European;Indo-European, Indo-Iranian, Indo-Aryan, Intermediate Divisions, Eastern, Eastern Pahari;100;H;Hinduism;85;Hinduism, the predominant religious tradition of the Indian subcontinent. There are many forms of Hinduism, each with its own deities and beliefs.;Hinduism;;H;;107217;Newar;306004;Newar / Newah;C0229;Other Tibeto-Burmese;A018;Tibetan Peoples;Available;Available;Not Available;Available;Available;Not Available;4;None;None;"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: Don Brown";https://joshuaproject.net/assets/media/profiles/photos/p13322.jpg;Y;Indigenous;26.735981;88.408625;Newar of India (PG041726);2025-10-23T12:11:52.07+00:00
22;17530;PG017530;Quechua, Cusco;Cusco Quechua;Cuzco Quechua;PER;Peru;Americas;South America;PE;AG800;American Peoples;a subgroup of the broader Quechua-speaking indigenous population of the Andes, specifically centered in and around the city of Cusco (Cuzco) in southeastern Peru;Apurimac, Arequipa, Cusco, Moquegua, Madre de Dios, and Puno regions;2345000;1,000,00 - 2,499,999;2% or Greater but Less than 5%;Yes;No Churches Planted;Engaged;4;2% or Greater but Less than 5% Evangelical;this people group is greater than or equal to 2% evangelical;2;No Longer Unreached;4;Marginally Reached People Group;3% to 6% Evangelical;quz;Quechua, Cusco;Quechuan;Quechuan, Peripheral Quechua, Chinchay, Southern Chinchay, Southern Peruvian Quechua;100;E;Ethnoreligion;0;ethnoreligion, consisting of practices deeply rooted in this groups ethnic identity.;Ethnoreligion;;E;;102341;Quechua, Cusco;306877;Quechua / Quichua;C0185;Quechua;A007;Latin American and Caribbean Peoples;Available;Available;Not Available;Available;Available;Not Available;4;Bible;2004;"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: <a href=""https://www.towerofhopeministries.org/"">Rose Faz - Tower of Hope Ministries</a>";https://joshuaproject.net/assets/media/profiles/photos/p11453.jpg;Y;Indigenous;-14.08527;-71.76625;Cusco Quechua of Peru (PG017530);2025-09-02T12:25:52.911+00:00
23;24682;PG024682;Kyrgyz;Kyrgyz;Kirghiz, Kirgiz;UZB;Uzbekistan;Asia;Central Asia;UZ;AG400;Central Asian Peoples;a Turkic-speaking ethnic group native to Central Asia, primarily associated with Kyrgyzstan, but also found in neighboring countries;Andijon, Farg’ona, and Namangan regions: scattered;316000;250,000 - 499,999;Less than 2%;No;No Churches Planted;Engaged;1;Less than 2% Evangelical, No Active CP Activity;this people group is less than 2% evangelical, some evangelical resources are available, but there has been no active church planting among them within the past two years;1;Engaged yet Unreached;0;Frontier Unreached People Group;< 0.1% Evangelical;kir;Kyrgyz;Turkic;Turkic, Western, Aralo-Caspian;100;MSN;Islam - Sunni;94;Sunni Islam, the largest branch of Islam. Sunni Muslims follow the teachings of the Qur'an and consider the first four caliphs to be the rightful successors of Muhammad.;Islam;MSN;M;Sunni Islam;105550;Kyrgyz;304510;Kyrgyz;C0110;Kyrgyz;A015;Turkic Peoples;Available;Available;Available;Available;Available;Not Available;5;None;None;Photo by Google. (2025). Image generated by Gemini 2.5 Flash: Kyrgyz;https://images.peoplegroups.org/imbpeople-featured-images/PG024682.jpg;Y;Diaspora;40.988354;71.680192;Kyrgyz of Uzbekistan (PG024682);2025-11-24T20:07:49.182+00:00
24;24531;PG024531;Tatar;Tatar;Tatarlar, Татарлар;TJK;Tajikistan;Asia;Central Asia;TI;AG400;Central Asian Peoples;a Turkic ethnic group indigenous to the Tatarstan region of Russia and Ukraine;Kuhistoni Badakhshon region: scattered;7100;less than 10,000;Less than 2%;No;No Churches Planted;Engaged;1;Less than 2% Evangelical, No Active CP Activity;this people group is less than 2% evangelical, some evangelical resources are available, but there has been no active church planting among them within the past two years;1;Engaged yet Unreached;0;Frontier Unreached People Group;< 0.1% Evangelical;tat;Tatar;Turkic;Turkic, Western, Uralian;100;MSN;Islam - Sunni;97;Sunni Islam, the largest branch of Islam. Sunni Muslims follow the teachings of the Qur'an and consider the first four caliphs to be the rightful successors of Muhammad.;Islam;MSN;M;Sunni Islam;109874;Tatar;307991;Tatar;C0223;Ural-Siberian;A015;Turkic Peoples;Available;Available;Not Available;Available;Available;Not Available;4;None;None;"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: Copyrighted ©️ 2025 Shamilini - Shutterstock Used with permission";https://joshuaproject.net/assets/media/profiles/photos/p15284.jpg;Y;Diaspora;38.5536;68.7362;Tatar of Tajikistan (PG024531);2025-11-22T12:04:19.057+00:00
