PeopNameInCountry;Ctry;ISO2;Population;Latitude;Longitude;PrimaryLanguageName;PrimaryReligion;Region;PercentChristianity;JPScale
Pako Kado;Laos;LA;9200;16.418608;106.815737;Pacoh;Ethnoreligion;South-Eastern Asia;75;
Pako Kanai;Laos;LA;2000;16.52839;106.841554;Pacoh;Ethnoreligion;South-Eastern Asia;75;
Phutai Joy;Laos;LA;4300;17.271746;105.333415;Phu Thai;Buddhism;South-Eastern Asia;10;
Sadang Duan;Laos;LA;1000;14.7402497916;107.48311534;Sedang;Ethnoreligion;South-Eastern Asia;75;
Oy Sok;Laos;LA;2800;15.070102;106.84246;Oy;Ethnoreligion;South-Eastern Asia;10;
Han Chinese (Cantonese);Macao;MC;661000;22.1988902506;113.544367341;Chinese, Yue;Ethnoreligion;Eastern Asia;75;
Akha Eurba;Laos;LA;5900;21.356205;102.107169;Akha;Ethnoreligion;South-Eastern Asia;0;
Akha Jijor;Laos;LA;5100;21.222051;101.108595;Akha;Ethnoreligion;South-Eastern Asia;0;
Akha Jipea;Laos;LA;9700;21.131453;101.88011;Akha;Buddhism;South-Eastern Asia;0;
Akha Jowhoi;Laos;LA;550;21.185418;101.381256;Akha;Ethnoreligion;South-Eastern Asia;0;
Akha Ker;Laos;LA;3300;22.152479;101.817706;Akha;Ethnoreligion;South-Eastern Asia;0;
Akha Nuver;Laos;LA;6400;22.02299;101.880051;Akha;Ethnoreligion;South-Eastern Asia;0;
Akha Pala;Laos;LA;6500;21.0944602;102.1641847;Akha;Ethnoreligion;South-Eastern Asia;0;
Akha Piso;Laos;LA;5500;21.578035;101.882316;Akha;Ethnoreligion;South-Eastern Asia;0;
Akha Muji;Laos;LA;5300;21.368391;102.131034;Akha;Ethnoreligion;South-Eastern Asia;0;
Sida;Laos;LA;2700;21.007379;101.474317;Sila;Ethnoreligion;South-Eastern Asia;0;
Akha Luma;Laos;LA;6700;21.160488;102.118674;Akha;Ethnoreligion;South-Eastern Asia;0;
Xingmoun Laomai;Laos;LA;6100;20.889184;104.244566;Puoc;Ethnoreligion;South-Eastern Asia;0;
Oy Kamsang;Laos;LA;1400;14.811466;106.749345;Oy;Ethnoreligion;South-Eastern Asia;0;
Phongset;Laos;LA;1100;21.673561;102.188065;Phunoi;Buddhism;South-Eastern Asia;0;
Pong Phen;Laos;LA;3900;20.005982;103.866851;Phong-Kniang;Buddhism;South-Eastern Asia;0;
Pong Puang;Laos;LA;3800;20.1757328;104.0074688;Phong-Kniang;Buddhism;South-Eastern Asia;0;
Xingmoun Kor;Laos;LA;750;20.931766;104.077998;Puoc;Ethnoreligion;South-Eastern Asia;0;
Thai Toum;Laos;LA;2600;18.57761;104.98219;Hung;Ethnoreligion;South-Eastern Asia;0;
Yang;Laos;LA;6700;20.61966;101.07723;Bouyei;Ethnoreligion;South-Eastern Asia;0;
Eritreans;Canada;CA;27000;43.653226;-79.383184;Tigrigna;Christianity;Northern America;10;
Chechens;France;FR;67500;48.8822;2.381944;Chechen;Islam;Western Europe;0;
Sapanawas;Brazil;BR;100;-9.83161901055;-71.7591216262;Undetermined;Ethnoreligion;South America;0;
Rohingya;Saudi Arabia;SA;430000;21.4496339099;39.8305073291;Rohingya;Islam;Western Asia;0;
Ghazi;India;IN;1700;22.8444546307;88.8138702649;Bengali;Islam;Southern Asia;0;
Baga Mandouri;Guinea;GV;4900;10.76747;-14.60521;Baga Manduri;Islam;Western Africa;0;
Kyrgyz;Germany;GM;14000;50.1129272386;8.67950178467;Kyrgyz;Islam;Western Europe;0;
Zaghawa;United States;US;250;37.967;-91.83324;Zaghawa;Islam;Northern America;0;
Uyghurs;Canada;CA;1700;43.5798432384;-79.7176103939;Uyghur;Islam;Northern America;10;
Tatar;Azerbaijan;AJ;15500;40.411197;49.844;Tatar;Islam;Western Asia;0;
Bideyat;Sudan;SU;13000;15.079167;23.238118;Zaghawa;Islam;Northern Africa;10;
Zaghawa;Libya;LY;11500;24.176351;23.43977;Zaghawa;Islam;Northern Africa;0;
Ahiska Turks;Uzbekistan;UZ;194000;41.33056;69.32652;Turkish;Islam;Central Asia;0;
Vietnamese;Martinique;MB;375;14.620381;-61.045594;Vietnamese;Buddhism;Caribbean;0;
Ahiska Turks;United States;US;11000;41.8932;-87.7014;Turkish;Islam;Northern America;10;
Vietnamese;Uzbekistan;UZ;425;41.330194;69.267503;Vietnamese;Buddhism;Central Asia;0;
Singmoon;Laos;LA;9500;18.44539;103.363665;Puoc;Ethnoreligion;South-Eastern Asia;0;
Ahiska Turks;Ukraine;UP;8000;46.649;32.588;Turkish;Islam;Eastern Europe;0;
Tatar;Uzbekistan;UZ;856000;41.3114;69.3489;Tatar;Islam;Central Asia;10;
Vietnamese;Russian Federation;RS;150000;55.663139;37.490435;Vietnamese;Ethnoreligion;Eastern Europe;10;
Tatar;Turkmenistan;TX;72000;37.955331;58.337621;Tatar;Islam;Central Asia;0;
Ahiska Turks;Azerbaijan;AJ;27000;39.864427;48.470137;Turkish;Islam;Western Asia;0;
Tatar;United States;US;7000;40.742375;-73.890929;Tatar;Islam;Northern America;0;
Rashaida;Eritrea;ER;30500;15.3477;38.9247;Arabic, Hijazi;Islam;Eastern Africa;0;
Tatar;Kazakhstan;KZ;257000;53.231548;63.654267;Russian;Islam;Central Asia;10;
Yazidi Kurds;Iraq;IZ;655000;36.744953;43.886232;Kurdish, Northern;Ethnoreligion;Western Asia;10;
Vietnamese;Taiwan;TW;217000;25.020848;121.474122;Vietnamese;Ethnoreligion;Eastern Asia;10;
Vietnamese;Canada;CA;256000;49.22194;-123.08166;Vietnamese;Buddhism;Northern America;10;
Vietnamese;United Kingdom;UK;100000;51.4969;-0.215374;Vietnamese;Buddhism;Northern Europe;10;
Vietnamese;China;CH;2700;19.369897;110.093181;Vietnamese;Unaffiliated;Eastern Asia;0;
Vietnamese;Germany;GM;83500;52.511211;13.379261;Vietnamese;Buddhism;Western Europe;10;
Vietnamese;Netherlands;NL;8700;51.479652;5.660798;Vietnamese;Buddhism;Western Europe;75;
Vietnamese;United States;US;1600000;33.806284;-118.118308;Vietnamese;Buddhism;Northern America;10;
Vietnamese;France;FR;656000;48.807317;2.37808;Vietnamese;Buddhism;Western Europe;10;
Vietnamese;Czech Republic;EZ;61000;50.083776;14.455815;Vietnamese;Buddhism;Eastern Europe;10;
Chakmas;India;IN;205000;23.20945;92.4993;Chakma;Buddhism;Southern Asia;75;
Talysh;Iran;IR;147000;38.17158;48.675;Talysh;Islam;Southern Asia;0;
Mbukushu;Namibia;WA;54000;-18.10857;21.77723;Mbukushu;Ethnoreligion;Southern Africa;75;
Bhattiana;Pakistan;PK;24500;29.999056;73.25763;Punjabi, Eastern;Islam;Southern Asia;10;
Mennonites;Bolivia;BL;76500;-17.7689;-63.1257;Plautdietsch;Unaffiliated;South America;10;
Polci;Nigeria;NI;36500;10.1306;9.6052;Pesse;Ethnoreligion;Western Africa;75;
Tatar;Bulgaria;BU;6100;43.822;27.754;Crimean Tatar;Ethnoreligion;Eastern Europe;10;
Mennonites;Paraguay;PA;49500;-22.373;-60.1553;Plautdietsch;Christianity;South America;75;
Mennonites;Belize;BH;14000;17.73283;-88.89483;Plautdietsch;Christianity;Central America;75;
Mboa;Nigeria;NI;9800;11.087056;13.692505;Mbonga;Ethnoreligion;Western Africa;75;
Brao;United States;US;100;32.714313;-117.11051;Brao;Ethnoreligion;Northern America;0;
Hiechware;Zimbabwe;ZI;4600;-19.6355;27.0494;Tshuwau;Ethnoreligion;Eastern Africa;10;
Mbukushu;Zambia;ZA;12500;-17.1026;22.7872;Mbukushu;Ethnoreligion;Eastern Africa;75;
Kitsai;United States;US;2400;35.172548;-98.281499;English;Christianity;Northern America;75;
Yuchi;United States;US;2300;35.96146;-95.03933;English;Ethnoreligion;Northern America;75;
Kwakwakaʼwakw;United States;US;400;48.119567;-123.131596;Kwakwala;Christianity;Northern America;75;
Cupeno;United States;US;850;33.31483;-116.51471;English;Ethnoreligion;Northern America;75;
Peruvians;Canada;CA;45000;43.6679;-79.3864;Spanish;Christianity;Northern America;75;
Metis;Canada;CA;704000;47.558063;-52.725077;English;Christianity;Northern America;75;
Plains Cree;United States;US;33500;48.05291;-108.68074;Cree, Plains;Christianity;Northern America;75;
Vincentians;Canada;CA;18500;43.7371;-79.4349;Vincentian English Creole;Christianity;Northern America;75;
Hondurans;Canada;CA;11500;45.528078;-73.562158;Spanish;Christianity;Northern America;75;
Dakota;Canada;CA;5500;50.3451;-103.5326;English;Christianity;Northern America;75;
Trinidadians;Canada;CA;84000;43.58732;-79.630586;English;Christianity;Northern America;75;
Hupa;United States;US;2300;41.09821;-123.67988;English;Ethnoreligion;Northern America;75;
Vietnamese;Cambodia;CB;530000;11.082133;105.802443;Vietnamese;Buddhism;South-Eastern Asia;10;
Vietnamese;New Zealand;NZ;4900;-36.943753;174.844609;Vietnamese;Buddhism;Australia and New Zealand;75;
Germans;Belgium;BE;80000;50.706936;6.031799;German, Standard;Christianity;Western Europe;75;
Andorrans;Andorra;AN;46000;42.48936;1.51829;Catalan;Unaffiliated;Southern Europe;0;
Vietnamese;Laos;LA;137000;17.9628;102.6295;Vietnamese;Ethnoreligion;South-Eastern Asia;75;
Vietnamese;Thailand;TH;119000;13.5795;100.6004;Vietnamese;Buddhism;South-Eastern Asia;75;
Vietnamese;Australia;AS;174000;-33.919539;151.034909;Vietnamese;Buddhism;Australia and New Zealand;75;
Vietnamese;Malaysia;MY;85000;5.361434;100.445433;Vietnamese;Ethnoreligion;South-Eastern Asia;75;
Imazighen;France;FR;150000;49.005397;2.21363;Tamazight, Central Atlas;Islam;Western Europe;0;
Imazighen;United Kingdom;UK;3400;51.537269;-0.053662;Tamazight, Central Atlas;Islam;Northern Europe;0;
Mennonites;United States;US;15500;35.879308;-97.419744;Plautdietsch;Christianity;Northern America;75;
Mennonites;Mexico;MX;123000;29.2492;-106.68327;Plautdietsch;Christianity;Central America;10;
Bakong Kenyah;Malaysia;MY;2000;1.48438;114.53565;Kenyah, Mainstream;Islam;South-Eastern Asia;75;
Yazidi Kurds;Germany;GM;101000;53.0918;8.83332;Kurdish, Northern;Ethnoreligion;Western Europe;10;
Circassians;Saudi Arabia;SA;29500;24.745494;46.771322;Kabardian;Islam;Western Asia;0;
Evenk;Russian Federation;RS;33000;64.2756;100.21;Evenki;Ethnoreligion;Eastern Europe;0;
French Cree;Canada;CA;2000;45.4191;-75.706;Michif;Christianity;Northern America;75;
Southern Dakelh;Canada;CA;2600;52.9755;-122.5273;English;Christianity;Northern America;75;
Upper Kuskokwim;United States;US;200;62.2976;-155.95074;English;Christianity;Northern America;75;
Han Hwech'in;Canada;CA;400;64.0438770141;-139.379965854;English;Christianity;Northern America;75;
Kato;United States;US;125;39.70019;-123.43244;English;Ethnoreligion;Northern America;75;
Osage;United States;US;10500;36.829519;-96.220636;English;Christianity;Northern America;75;
Achumawi;United States;US;1200;41.479;-120.484;English;Christianity;Northern America;75;
Alabama-Coushatta;United States;US;800;30.76738;-94.62848;English;Christianity;Northern America;75;
French Cree;United States;US;6700;48.843596;-99.742775;English;Christianity;Northern America;75;
Han Hwech'in;United States;US;60;64.87146;-141.29456;English;Christianity;Northern America;75;
Salitz;United States;US;2600;44.7234728809;-123.911183059;English;Ethnoreligion;Northern America;10;
Umpqua;United States;US;900;43.1856273834;-123.367778416;English;Ethnoreligion;Northern America;0;
Monacan;United States;US;2600;37.5729;-79.12703;English;Ethnoreligion;Northern America;75;
Coquille;United States;US;600;43.394329;-124.219609;English;Ethnoreligion;Northern America;0;
Pequots;United States;US;1500;41.4710608528;-71.9576924592;English;Ethnoreligion;Northern America;0;
Okanagan;United States;US;2200;48.3596253729;-119.579011924;English;Christianity;Northern America;75;
Kenaitze;United States;US;1800;60.5544;-151.2583;English;Ethnoreligion;Northern America;75;
Judeo-Moroccan Jews;Canada;CA;16500;45.4813;-73.6484;Arabic, Judeo-Moroccan;Judaism;Northern America;10;
Chechens;Belgium;BE;18000;50.8377;4.406;Chechen;Islam;Western Europe;0;
Middle-Eastern Turkoman;Syria;SY;125000;34.73359;36.72365;Turkish;Islam;Western Asia;0;
Kohistani;Afghanistan;AF;2400;34.4188;70.4678;Gawri;Islam;Southern Asia;0;
Tatar;Kyrgyzstan;KG;66500;42.8927;74.6267;Tatar;Islam;Central Asia;10;
Rakhine;United States;US;7700;33.9912948309;-81.0235991698;Rakhine;Buddhism;Northern America;10;
Assyrians;United Kingdom;UK;7000;51.528511;-0.355176;Assyrian Neo-Aramaic;Christianity;Northern Europe;0;
Southeast Pashayi;Afghanistan;AF;172000;34.424012;70.449337;Pashai, Southeast;Islam;Southern Asia;0;
Bashgali Nuristani;Pakistan;PK;8900;35.702;71.689;Kateviri;Islam;Southern Asia;0;
Divehi;India;IN;74500;10.0675;73.6422;Maldivian;Islam;Southern Asia;0;
Brunei Dusun;Brunei;BX;10500;4.9098;114.9033;Kadazan Dusun;Islam;South-Eastern Asia;0;
Sakalava;Mayotte;MF;125000;-12.96521;45.13678;Bushi;Ethnoreligion;Eastern Africa;10;
Southern East Cree;Canada;CA;3200;49.6924;-75.9596;English;Christianity;Northern America;75;
Tse'khene;Canada;CA;950;57.44212;-125.66411;English;Christianity;Northern America;75;
Danezaa Zaage;Canada;CA;900;58.752;-118.711;English;Christianity;Northern America;75;
Nakota (Assiniboine);Canada;CA;6500;52.502606984;-108.275939769;English;Christianity;Northern America;75;
Kwakwakaʼwakw;Canada;CA;6500;50.7345089571;-127.499302762;English;Christianity;Northern America;75;
Nuxalk;Canada;CA;1000;52.371;-126.745;English;Christianity;Northern America;75;
Woodland Cree;Canada;CA;68500;55.07552;-105.321399;English;Christianity;Northern America;75;
Colville;United States;US;9300;48.29992;-119.18951;English;Christianity;Northern America;75;
Cocopah;United States;US;800;32.6213726731;-114.7685684;Cocopa;Christianity;Northern America;75;
Nakota (Assiniboine);United States;US;2400;48.31435;-108.60161;English;Christianity;Northern America;75;
Jiamao Li;China;CH;109000;18.55481;109.85372;Jiamao;Ethnoreligion;Eastern Asia;0;
Central Seko;Indonesia;ID;3600;-2.3458;119.8041;Seko Tengah;Christianity;South-Eastern Asia;75;
Tajiks;Uzbekistan;UZ;1710000;39.0585;66.8168;Tajik;Islam;Central Asia;10;
Zaghawa;Sudan;SU;263000;15.0879;24.1061;Zaghawa;Islam;Northern Africa;10;
Keot;India;IN;109000;23.791278;86.418526;Bengali;Hinduism;Southern Asia;10;
West Masela;Indonesia;ID;1100;-8.203657;129.820381;Masela, West;Christianity;South-Eastern Asia;75;
Monia Binza;Congo, Democratic Republic of the;CG;16500;2.1328;19.0925;Libinza;Christianity;Middle Africa;75;
Baokan;Malaysia;MY;4200;5.287688;116.37863;Murut, Bookan;Ethnoreligion;South-Eastern Asia;75;
Ma'ya Salawati;Indonesia;ID;5400;-1.22329;130.90913;Ma’ya;Christianity;South-Eastern Asia;75;
Beketan;Malaysia;MY;450;2.303413;113.004889;Bukitan;Christianity;South-Eastern Asia;75;
Central Masela;Indonesia;ID;950;-8.1804;129.83258;Masela, West;Christianity;South-Eastern Asia;75;
Liabuku;Indonesia;ID;850;-5.39659979526;122.684807191;Indonesian;Islam;South-Eastern Asia;0;
Moose Cree;Canada;CA;5800;51.06859;-80.69116;Cree, Moose;Christianity;Northern America;75;
Saberi;Indonesia;ID;2500;-1.88775;138.59509;Isirawa;Christianity;South-Eastern Asia;75;
Obokuitai;Indonesia;ID;150;-2.8816;137.9767;Obokuitai;Christianity;South-Eastern Asia;75;
Tsilhqot'in;Canada;CA;4900;52.0152;-123.1754;Chilcotin;Christianity;Northern America;75;
Oji-Cree;Canada;CA;13000;53.8354;-89.5963;Oji-Cree;Christianity;Northern America;75;
Hualapai;United States;US;2300;35.7333577544;-113.604691171;Havasupai-Walapai-Yavapai;Ethnoreligion;Northern America;75;
Comorian Maori;Mayotte;MF;217000;-12.783735;45.216985;Comorian, Maore;Islam;Eastern Africa;10;
Kufra Bedouin;Libya;LY;30000;24.172309;23.246315;Arabic, Libyan;Islam;Northern Africa;0;
Arabized Birgid;Sudan;SU;242000;12.842579;25.106828;Arabic, Sudanese;Islam;Northern Africa;0;
Jemez Pueblo;United States;US;2400;35.59942;-106.7662;Jemez;Christianity;Northern America;75;
Bushmen;Botswana;BC;72500;-24.00945;21.881301;Setswana;Ethnoreligion;Southern Africa;75;
Chechens;Russian Federation;RS;1365000;43.21954;45.73836;Chechen;Islam;Eastern Europe;10;
Even;Russian Federation;RS;19000;62.7627;148.1616;Russian;Ethnoreligion;Eastern Europe;0;
Andio;Indonesia;ID;2600;-0.853;123.144;Andio;Islam;South-Eastern Asia;75;
Lun Bawang;Indonesia;ID;26000;3.9244;115.86096;Lundayeh;Ethnoreligion;South-Eastern Asia;75;
Vietnamese;Vietnam;VM;85300000;17.11945;106.91747;Vietnamese;Buddhism;South-Eastern Asia;10;
Dakelh;Canada;CA;10500;54.4353;-124.2498;Carrier;Christianity;Northern America;75;
East Masela;Indonesia;ID;950;-8.13455;129.87322;Malay, Ambonese;Christianity;South-Eastern Asia;75;
Blackfoot;Canada;CA;3100;49.47284;-113.2755;Blackfoot;Christianity;Northern America;75;
Nakota (Stoney);Canada;CA;3800;51.19392;-114.98424;Stoney;Christianity;Northern America;75;
Nyiman;Sudan;SU;157000;11.9996;29.5405;Ama;Islam;Northern Africa;10;
Winye;Burkina Faso;UV;32000;11.7411;-2.9326;Winyé;Ethnoreligion;Western Africa;75;
Bekworra;Nigeria;NI;216000;6.703;8.9029;Bekwarra;Ethnoreligion;Western Africa;10;
Vengoo;Cameroon;CM;42500;6.064;10.4451;Vengo;Christianity;Middle Africa;75;
Bolewa;Nigeria;NI;253000;10.825329;10.769564;Bole;Islam;Western Africa;10;
Aten;Nigeria;NI;73500;9.6894;8.5717;Iten;Christianity;Western Africa;75;
Morokodo;South Sudan;OD;58500;5.5745;30.1605;Morokodo;Ethnoreligion;Northern Africa;10;
Matal;Cameroon;CM;60000;10.92842;14.04736;Matal;Ethnoreligion;Middle Africa;75;
