UPG;Country;CC;PopulationTotal;Latitude;Longitude;PrimaryLanguage;Religion;Continent;PChrn
Hulaula;Iran;IR;375;36.247248;46.27321;Kurdish, Central;Judaism;Asia;0
Sau;Afghanistan;AF;9000;35.170868;71.455997;Savi;Islam;Asia;0
Yuki;United States;US;1200;39.8106490643;-123.254677767;English;Christianity;Americas;0
Mang;China;CH;550;22.54006;102.9422;Mang;Ethnoreligion;Asia;0
Belarusians;Canada;CA;19500;43.647595;-79.563988;Belarusian;Christianity;Americas;0
Burun;Ethiopia;ET;5900;9.871621;34.228894;Mabaan;Christianity;Africa;0
Hesi;India;IN;3900;31.6073;76.579;Pahari-Potwari;Hinduism;Asia;0
Gosangi;India;IN;34000;18.438555;79.128841;Telugu;Hinduism;Asia;0
Manjak;France;FR;25500;48.858649;2.31903;Mandjak;Ethnoreligion;Europe;0
Western Bolivian Guarani;Bolivia;BL;10500;-20.28192;-64.16621;Guaraní, Western Bolivian;Christianity;Americas;0
Bai;South Sudan;OD;4700;7.727036;26.708728;Bai;Ethnoreligion;Africa;0
Southern Ngbandi;Congo, Democratic Republic of the;CG;315000;4.102341;22.445994;Ngbandi, Southern;Ethnoreligion;Africa;0
Tuyuka;Colombia;CO;750;0.4966;-70.11783;Tuyuca;Ethnoreligion;Americas;0
Southern Ngbandi;Congo;CF;3100;2.845545;18.390082;Ngbandi, Southern;Christianity;Africa;0
Maimande;Brazil;BR;150;-13.833333;-59.916667;Mamaindê;Ethnoreligion;Americas;0
Maslam;Chad;CD;1400;12.15819;14.95486;Maslam;Islam;Africa;0
Mbukushu;Angola;AO;13500;-17.2297;22.8714;Mbukushu;Ethnoreligion;Africa;0
Ngondi;Congo;CF;6200;1.63917;16.12504;Ngundi;Christianity;Africa;0
Lulba;Uganda;UG;2700;3.655182;31.720722;Olu’bo;Ethnoreligion;Africa;0
Cong;Vietnam;VM;2000;22.298363;102.789892;Côông;Ethnoreligion;Asia;0
Monjombo;Congo;CF;16500;2.9312;18.4387;Monzombo;Christianity;Africa;0
Ethiopian Jews;Ethiopia;ET;9600;9.0258;38.7598;Amharic;Judaism;Africa;0
Doms;Iran;IR;111000;35.6611;51.4604;Persian, Iranian;Islam;Asia;0
Ghorbati;Afghanistan;AF;13500;34.5003;69.1282;Domari;Islam;Asia;0
Mugat;Tajikistan;TI;5000;40.2922;70.4326;Tajik;Islam;Asia;0
Veps;Russian Federation;RS;6000;61.369261;35.352401;Russian;Christianity;Europe;0
Pinjara, Dhunia (Bengali);India;IN;40500;22.424998;87.3725;Bengali;Islam;Asia;0
Chunari;India;IN;64000;23.140979;87.134957;Bengali;Hinduism;Asia;0
Khalifa;India;IN;8700;22.13;88.5;Bengali;Islam;Asia;0
Byadh;India;IN;1200;23.224858;88.348219;Bengali;Hinduism;Asia;0
Khatik (Bengali);India;IN;11500;22.843397;87.340286;Bengali;Hinduism;Asia;0
Dhal Kstriya;India;IN;125;23.526063;87.315108;Bengali;Hinduism;Asia;0
Kasar (Bengali);India;IN;102000;22.595134;88.359447;Bengali;Hinduism;Asia;0
Bajandar;India;IN;750;23.906981;91.795584;Bengali;Islam;Asia;0
Kapuria;India;IN;1800;23.428441;87.766921;Bengali;Hinduism;Asia;0
Bagti;India;IN;275;23.248259;86.499655;Bengali;Hinduism;Asia;0
Tamboli (Bengali);India;IN;106000;23.232389;87.861439;Bengali;Hinduism;Asia;0
Hajjam (Bengali);India;IN;68000;22.759877;88.852254;Bengali;Islam;Asia;0
East Indians;Guatemala;GT;700;15.825;-88.755;Spanish;Unaffiliated;Americas;0
East Indians;Chile;CI;3900;-53.166667;-70.933333;Hindi;Hinduism;Americas;0
East Indians;Belize;BH;12000;17.499514;-88.194721;Belize English Creole;Unaffiliated;Americas;0
East Indians;Grenada;GJ;4700;12.0546;-61.751;Hindi;Christianity;Americas;0
East Indians;Brazil;BR;2400;-23.55;-46.633333;Hindi;Hinduism;Americas;0
East Indians;Guadeloupe;GP;4500;16.221;-61.522;Tamil;Christianity;Americas;0
East Indians;Argentina;AR;2700;-34.524535;-58.543537;Hindi;Hinduism;Americas;0
East Indians;Venezuela;VE;500;10.5;-66.916667;Hindi;Hinduism;Americas;0
Han Chinese (Hakka);Peru;PE;12500;-12.05006;-77.129384;Chinese, Hakka;Ethnoreligion;Americas;0
Fula Toro;France;FR;1000;48.860359;2.331194;Pulaar;Islam;Europe;0
Sisgars;India;IN;900;22.711983;75.847494;Urdu;Islam;Asia;0
Katong;Laos;LA;1000;15.643444;106.932631;Bru, Eastern;Buddhism;Asia;0
Ismaili Gujarati;United States;US;15000;33.78847;-84.40535;Gujarati;Islam;Americas;0
Chadwa;India;IN;8900;25.703417;72.398314;Urdu;Islam;Asia;0
Tibetans;Sweden;SW;1000;59.354507;18.053548;Tibetan, Central;Buddhism;Europe;0
Han Chinese (Hakka);Guyana;GY;1700;6.796978;-58.148847;Chinese, Hakka;Ethnoreligion;Americas;0
Baisya;India;IN;1600;23.035053;87.90825;Hindi;Hinduism;Asia;0
Tibetans;Taiwan;TW;400;25.027295;121.510489;Tibetan, Central;Buddhism;Asia;0
Meithei;United States;US;150;32.87832;-96.75744;Meitei;Hinduism;Americas;0
Yonaguni;Japan;JA;2200;24.44997;122.99075;Yonaguni;Ethnoreligion;Asia;0
Tibetans;Canada;CA;5200;43.713582;-79.643598;Tibetan, Central;Buddhism;Americas;0
Buryat;Uzbekistan;UZ;1200;41.318345;69.168003;Buriat, Russia;Buddhism;Asia;0
Azerbaijani;Uzbekistan;UZ;81000;41.360187;69.216275;Azerbaijani, North;Islam;Asia;0
Azerbaijani;Turkmenistan;TX;61500;37.946789;58.401318;Azerbaijani, North;Islam;Asia;0
East Indians;Saint Vincent and the Grenadines;VC;1500;13.162636;-61.231525;Vincentian English Creole;Unaffiliated;Americas;0
Chaldeans;Iraq;IZ;67000;37.09724;43.50269;Chaldean Neo-Aramaic;Christianity;Asia;0
Tsaatan;Mongolia;MG;350;51.318;99.317;Tuvan;Ethnoreligion;Asia;0
Han Chinese (Hakka);French Guiana;FG;17000;4.9325;-52.2964;Chinese, Hakka;Ethnoreligion;Americas;0
Soyot;Russian Federation;RS;4200;52.5199;99.8246;Buriat, Russia;Buddhism;Europe;0
East Indians;Saint Lucia;ST;5500;14.001;-60.987;Lesser Antillean French Creole;Unaffiliated;Americas;0
Yakut;China;CH;2700;52.042594;122.056079;Yakut;Ethnoreligion;Asia;0
Eritreans;Germany;GM;61000;48.140578;11.557347;English;Christianity;Europe;0
Judeo-Iraqi Arabs;United Kingdom;UK;6000;51.510859;-0.112548;Arabic, Judeo-Iraqi;Judaism;Europe;0
East Indians;Martinique;MB;6900;14.612962;-61.082014;Tamil;Christianity;Americas;0
Yakha;India;IN;7400;27.33146;88.61507;Yakkha;Hinduism;Asia;0
Durga Murga;India;IN;1200;15.4559;75.008611;Telugu;Hinduism;Asia;0
Angarok;India;IN;6800;23.332078;86.365208;Bengali;Hinduism;Asia;0
Bandi;India;IN;5800;14.70923;74.780519;Telugu;Hinduism;Asia;0
Bhalla;India;IN;3800;24.228813;88.245722;Bengali;Hinduism;Asia;0
Khairwar (Bengali);India;IN;166000;22.784182;87.010038;Bengali;Hinduism;Asia;0
Baida;India;IN;800;23.332078;86.365208;Bengali;Hinduism;Asia;0
Siyalgar;India;IN;7500;21.839858;87.423203;Bengali;Hinduism;Asia;0
Western Baloch;Turkmenistan;TX;52000;37.427719;62.337371;Balochi, Western;Islam;Asia;0
Crimean Tatars;Uzbekistan;UZ;204000;40.12217;65.50777;Crimean Tatar;Islam;Asia;0
Alxa Mongols;China;CH;35500;39.207987;101.67522;Kalmyk-Oirat;Islam;Asia;0
Batlukh-Gid Avar;Russian Federation;RS;50000;43.2171;46.8584;Avar;Islam;Europe;0
Jama Mapun;Malaysia;MY;6500;5.861344;118.079946;Mapun;Islam;Asia;0
Southern Baloch;Qatar;QA;57000;25.287411;51.469826;Balochi, Southern;Islam;Asia;0
Fulfulde-Fulani;France;FR;33000;48.971036;2.295657;Fulfulde, Adamawa;Islam;Europe;0
Shawiya;France;FR;196000;48.973541;2.632009;Tachawit;Islam;Europe;0
Crimean Tatars;Kyrgyzstan;KG;700;42.904685;74.605862;Crimean Tatar;Islam;Asia;0
Sutradhar;India;IN;911000;22.431;87.3215;Bengali;Hinduism;Asia;0
Bhakta;India;IN;2700;23.164544;87.062425;Bengali;Hinduism;Asia;0
Mirshikar;India;IN;9900;22.300575;87.418299;Bengali;Islam;Asia;0
Negev Bedouins;Israel;IS;130000;31.0701;35.0372;Arabic, Eastern Egyptian Bedawi;Islam;Asia;0
Southern Baloch;Saudi Arabia;SA;13500;24.652793;46.686346;Balochi, Southern;Islam;Asia;0
Southern Baloch;United States;US;325;40.724529;-73.807053;Balochi, Southern;Islam;Americas;0
Sunuwar;India;IN;38000;27.066771;88.464167;Sunwar;Hinduism;Asia;0
Tibetans;Bhutan;BT;5800;27.5622;89.5624;Tibetan, Central;Buddhism;Asia;0
Bhujel;India;IN;19000;27.0455;88.4661;Nepali;Hinduism;Asia;0
Tuvinians;Mongolia;MG;6700;50.27611;92.24569;Tuvan;Buddhism;Asia;0
Kyrgyz;China;CH;195000;38.01774;76.0963;Kyrgyz;Islam;Asia;0
Assyrians;Iraq;IZ;204000;37.09724;43.50269;Assyrian Neo-Aramaic;Christianity;Asia;0
Buryat;China;CH;170000;48.75926;117.7863;Buriat, China;Ethnoreligion;Asia;0
Akha;Laos;LA;113000;21.329851;102.163259;Akha;Ethnoreligion;Asia;0
Azerbaijani;Netherlands;NL;7500;52.280307;4.803636;Azerbaijani, North;Islam;Europe;0
Gujaratis;Uganda;UG;29500;0.282216;32.565377;Gujarati;Hinduism;Africa;0
Tilli;India;IN;150000;25.24025;86.977727;Hindi;Hinduism;Asia;0
Acre Arara;Brazil;BR;375;-7.833333;-72.666667;Sharanahua;Ethnoreligion;Americas;0
Pankara;Brazil;BR;3000;-8.4344;-38.740167;Portuguese;Ethnoreligion;Americas;0
Koiupanka;Brazil;BR;1200;-9.215833;-37.756667;Portuguese;Ethnoreligion;Americas;0
Mallah;Nepal;NP;199000;26.454745;87.290001;Nepali;Hinduism;Asia;0
Baniya;Nepal;NP;217000;26.975892;85.34782;Nepali;Hinduism;Asia;0
Rajbhar;Nepal;NP;41500;27.433184;83.847381;Nepali;Hinduism;Asia;0
Dhobi;Nepal;NP;126000;27.007084;84.995788;Nepali;Hinduism;Asia;0
Kanu;Nepal;NP;164000;26.991058;85.052564;Nepali;Hinduism;Asia;0
Halkhor;Nepal;NP;6200;27.025973;84.910601;Nepali;Hinduism;Asia;0
Mali;Nepal;NP;19500;27.019463;84.87856;Nepali;Hinduism;Asia;0
Kayastha;Nepal;NP;79000;26.480373;87.275488;Nepali;Hinduism;Asia;0
Kamar;Nepal;NP;15000;27.752408;85.015624;Nepali;Hinduism;Asia;0
Thakurai;India;IN;11500;27.1073;84.4716;Urdu;Islam;Asia;0
Bisati;India;IN;8700;26.846511;80.946683;Urdu;Islam;Asia;0
Turuk Pasi;India;IN;9300;25.21015;84.99248;Urdu;Islam;Asia;0
Eastern Punjabi;Myanmar;BM;78000;16.867095;96.126759;Punjabi, Eastern;Hinduism;Asia;0
Byangsi;Nepal;NP;2700;29.830702;81.886823;Byangsi;Buddhism;Asia;0
Bambara;Senegal;SG;100000;13.983;-16.267;Bamanankan;Islam;Africa;0
Katokinn;Brazil;BR;1200;-9.254527;-38.004854;Portuguese;Ethnoreligion;Americas;0
Haluwai;Nepal;NP;86500;26.762955;86.222681;Nepali;Hinduism;Asia;0
Western Punjabi;Libya;LY;73000;32.870569;13.211443;Punjabi, Western;Islam;Africa;0
Pari;South Sudan;OD;59000;5.09472;32.48215;Päri;Islam;Africa;0
Domal;India;IN;9200;33.237574;74.311821;Dogri;Islam;Asia;0
Namdagur;India;IN;1200;34.10044;74.820007;Kashmiri;Islam;Asia;0
Viri;South Sudan;OD;54500;7.547912;27.856747;Belanda Viri;Islam;Africa;0
Kresh;South Sudan;OD;9700;8.463;24.8083;Gbaya;Islam;Africa;0
Tingui-Boto;Brazil;BR;800;-9.8987;-36.7065;Portuguese;Ethnoreligion;Americas;0
Lodha;Nepal;NP;42500;27.51882;83.300123;Nepali;Hinduism;Asia;0
Nukuini;Brazil;BR;600;-7.333333;-73.5;Portuguese;Ethnoreligion;Americas;0
Narin;South Sudan;OD;8700;4.7262;33.2519;Laarim;Ethnoreligion;Africa;0
Banda-Ndele;South Sudan;OD;24500;8.00846;26.00594;Banda-Ndélé;Christianity;Africa;0
Sahisia;India;IN;10500;25.545445;87.644985;Urdu;Islam;Asia;0
Bhand;Nepal;NP;17000;29.644105;80.509545;Urdu;Islam;Asia;0
Pendar;India;IN;228000;15.175919;75.422535;Urdu;Islam;Asia;0
Putliwale;India;IN;1000;26.846511;80.946683;Urdu;Islam;Asia;0
Gandharv;India;IN;14000;25.241822;86.993282;Hindi;Hinduism;Asia;0
Kaghzi;India;IN;76000;21.013321;75.563972;Urdu;Islam;Asia;0
Mukeri;India;IN;39000;25.24003;86.984512;Urdu;Islam;Asia;0
Ahmadiya;India;IN;7100;29.6945;77.6738;Urdu;Islam;Asia;0
Muslim Kachera;India;IN;2500;21.1458;79.088155;Urdu;Islam;Asia;0
Nalband;India;IN;4700;26.6;85.48;Urdu;Islam;Asia;0
Jatigar;India;IN;125;16.83;75.71;Urdu;Islam;Asia;0
Gadihar;India;IN;200;24.79988;85.00262;Urdu;Islam;Asia;0
Mondivogula;India;IN;15000;14.87245;77.814823;Urdu;Islam;Asia;0
Cakketakare;India;IN;30;16.712381;81.096733;Urdu;Islam;Asia;0
Pankhiya;India;IN;850;26.449923;80.331874;Urdu;Islam;Asia;0
Sonavar;India;IN;20500;10.92755;79.833531;Urdu;Islam;Asia;0
Khadim;India;IN;375;26.449896;74.639916;Urdu;Islam;Asia;0
Camma;India;IN;7600;26.46816;86.17481;Urdu;Islam;Asia;0
Tirugatigantla;India;IN;1500;17.688047;82.999222;Urdu;Islam;Asia;0
Garodi;India;IN;56000;16.691308;74.244866;Urdu;Islam;Asia;0
Baig;India;IN;26500;11.368618;77.704777;Urdu;Islam;Asia;0
Ganta Sayebulu;India;IN;750;17.2557;81.872797;Urdu;Islam;Asia;0
Khakar;India;IN;33500;15.85;74.5;Urdu;Islam;Asia;0
Sheikhzade;India;IN;5000;29.97256;77.5471;Urdu;Islam;Asia;0
Jarkhandi Hajjam;India;IN;94500;23.964031;86.801915;Urdu;Islam;Asia;0
Manjygur Muslims;India;IN;250;34.1268;74.81894;Urdu;Islam;Asia;0
Rai Bhat Muslims;India;IN;197000;28.97222;77.7058;Urdu;Islam;Asia;0
Phularis;India;IN;28000;19.122656;74.74285;Urdu;Islam;Asia;0
Garadi;India;IN;21500;14.061819;78.754078;Urdu;Islam;Asia;0
Cejara;India;IN;1400;26.447822;74.648189;Urdu;Islam;Asia;0
Dayare;India;IN;1900;8.713914;77.756653;Urdu;Islam;Asia;0
Koda;Bangladesh;BG;1500;24.554;88.649;Koda;Hinduism;Asia;0
Dombi Dasa;India;IN;8800;13.336683;77.112467;Telugu;Hinduism;Asia;0
Kanauri;Pakistan;PK;7300;32.260593;75.159605;Kinnauri;Hinduism;Asia;0
Gujaratis;Rwanda;RW;1400;-1.964299;30.070561;Gujarati;Hinduism;Africa;0
Darmiya;Nepal;NP;1600;29.83684;80.5587;Darmiya;Hinduism;Asia;0
Gujaratis;Burundi;BY;16000;-3.371144;29.35511;Gujarati;Hinduism;Africa;0
Lingala;South Sudan;OD;48500;4.579256;28.437941;Lingala;Islam;Africa;0
Parsi;Sri Lanka;CE;2600;6.903825;79.852905;Gujarati;Other;Asia;0
Shershabadia;India;IN;4400;25.53632;87.57405;Bengali;Islam;Asia;0
Ansari-Momin (Bengali);India;IN;467000;22.884884;88.078183;Bengali;Islam;Asia;0
Shaikh (Bhojpuri);Nepal;NP;323000;27.012336;84.869368;Bhojpuri;Islam;Asia;0
Bodo;Nepal;NP;4900;26.78124;88.08058;Boro (India);Hinduism;Asia;0
Punjabis;Sri Lanka;CE;12500;7.717052;81.70006;Punjabi, Eastern;Sikhism;Asia;0
Muslim Gond;India;IN;28000;21.903865;77.903453;Urdu;Islam;Asia;0
Sudhi;Nepal;NP;154000;26.762601;85.917164;Nepali;Hinduism;Asia;0
Vaghri Koli;Pakistan;PK;16500;26.133605;68.59996;Vaghri;Hinduism;Asia;0
Dhunia;Nepal;NP;2100;26.806809;85.836118;Nepali;Hinduism;Asia;0
Kalkoti;Pakistan;PK;9000;35.344944;72.058454;Kalkoti;Islam;Asia;0
Arain (Punjabi);India;IN;41000;30.246453;77.357462;Punjabi, Eastern;Islam;Asia;0
Majhi;Pakistan;PK;300;31.506776;74.331556;Punjabi, Western;Islam;Asia;0
Marwadi;Nepal;NP;75500;26.477096;87.283124;Nepali;Hinduism;Asia;0
Nurang;Nepal;NP;475;26.482757;87.527293;Nepali;Hinduism;Asia;0
Jaine;Nepal;NP;1700;27.7;85.333333;Nepali;Other;Asia;0
Ashéninka Alto Pichis;Peru;PE;7000;-10.37613;-74.904088;Ashéninka, Pichis;Ethnoreligion;Americas;0
Barae;Nepal;NP;60500;26.875035;85.578349;Nepali;Hinduism;Asia;0
Bestha;India;IN;468000;12.314912;76.648165;Telugu;Hinduism;Asia;0
Jains (Maithili);India;IN;47500;24.791267;84.412401;Maithili;Other;Asia;0
Brokkat;Bhutan;BT;475;27.627186;90.657634;Brokkat;Buddhism;Asia;0
Tseku;Nepal;NP;6500;27.12243;87.8542;Tseku;Buddhism;Asia;0
Hiranbaj;India;IN;900;26.999292;74.241497;Marwari (India);Islam;Asia;0
Pinjara (Punjabi);India;IN;3000;31.236653;76.50242;Punjabi, Eastern;Islam;Asia;0
Arain (Kannauji);India;IN;70500;28.534802;79.97527;Kanauji;Islam;Asia;0
Moghal (Telugu);India;IN;12500;17.417003;78.477119;Telugu;Islam;Asia;0
Ansari-Momin (Telugu);India;IN;140000;14.7817;78.5513;Telugu;Islam;Asia;0
Ushojo;Pakistan;PK;4200;35.150751;72.651055;Ushojo;Islam;Asia;0
Koyava;India;IN;850;12.337494;75.806908;Kodava;Hinduism;Asia;0
Kummara, Kummari;India;IN;309000;12.321028;78.147297;Telugu;Hinduism;Asia;0
Khatik (Punjabi);India;IN;34000;30.7184;76.7922;Punjabi, Eastern;Hinduism;Asia;0
Daoli;India;IN;2800;30.96548;76.52376;Punjabi, Eastern;Hinduism;Asia;0
Kambalattan;India;IN;3200;8.713972;77.7537;Telugu;Hinduism;Asia;0
Natua;India;IN;59000;13.361729;78.020387;Telugu;Hinduism;Asia;0
Neeli;India;IN;27000;19.134514;77.324689;Telugu;Hinduism;Asia;0
Naikpod;India;IN;16000;19.111236;77.623988;Telugu;Hinduism;Asia;0
Pochammalollu;India;IN;7400;19.117096;77.624492;Telugu;Hinduism;Asia;0
